item_id,title,date,publisher,fids,fnames
716630,Status of open recommendations,19uu,The Office,FID2936|FID3090|FID1928|FID3497|FID462|FID1968|FID3891,30000053462143.img|30000053462150.img|30000053462093.img|30000053462127.img|30000102588658.img|30000053462135.img|30000102588666.img
4909956,CME training system,[1996],The Office,FID2516,30000078832882.iso
1325667,NOAA environmental buoy data,[1998?],"Coastal Ocean Laboratory, National Oceanographic Data Center, U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration",FID3710|FID3558|FID1250|FID308|FID1693|FID1067,30000078829904.iso|30000078829722.iso|30000078829953.iso|30000078829946.iso|30000078829920.iso|30000078829912.iso
1106482,Census transportation planning package,[1997?],"Bureau of Transportation Statistics, U.S. Dept. of Transportation",FID2002,30000095915306.iso
5628977,Index of patents issued from the United States Patent and Trademark Office and the consolidated listing of official gazette notices,2001,"U.S. Patent & Trademark Office, OCIO, Information Products Division",FID2181|FID2|FID2259|FID3294|FID979,30000053527366.iso|30000053756106.iso|30000053529206.iso|30000096148600.iso|30000054729557.iso
4232337,"Geology of the conterminous United States at 1:2,500,000 scale",1994,The Survey,FID761,30000077393928.iso
6458656,"Early Childhood Longitudinal Study, Kindergarten Class of 1998-99, Data Files and Electronic Code Book, August 2004, (CD-ROM)",2006?],s.n,FID2359,30000102920398.iso
4245478,Photoglossary of marine and continental ichnofossils,1994,"U.S. Dept. of the Interior, U.S. Geological Survey",FID2938,30000077392995.iso
5703418,United States and World War II,2003,United States Army Center of Military History,FID1058|FID2379|FID2435,30000085799900_1.iso|30000085799900_2.iso|30000085799900_3.iso
6468753,Guide to clinical preventive services,[2004],"U.S. Dept. of Health and Human Services, Agency for Healthcare Research and Quality",FID341,30000102919945.iso
3715654,"COMNAVRESFOR, COMNAVAIRESFOR, COMNAVSURFRESFOR instructions and notices",199u,"COMNAVRESFOR, COMNAVAIRESFOR, COMNAVSURFRESFOR",FID863,30000078831348.iso
5799934,"Health, United States, 2003",[2004],"Dept. of Health and Human Services, Centers for Disease Control and Prevention, National Center for Health Statistics",FID2800,30000094726506.iso
5634258,"GEOLIS, CD-ROM-ban, Nihon chishitsu bunken dēta bēsu",2000,Chishitsu Chōsajo,FID2806,30000087809459.iso
4297502,ESI atlases,1998],"Research Planning, Inc., Environmental Technology Division",FID1036,30000060976895.iso
4263101,"Stratigraphic nomenclature databases for the United States, its possessions and territories",1996,The Survey,FID2968,30000077393159.iso
4299975,Remembering Apollo 11,[1999],"NASA History Office, Office of Policy and Plans, NASA Headquarters",FID2028,30000061709352.iso
1068762,Merchant marine examination questions,[1988]-,"U.S. Dept. of Transportation, United States Coast Guard",FID2235|FID826|FID3154|FID440,30000048831535.img|30000048831543.img|30000048831550.img|30000048831436.img
4283816,Vector map level O (VMAPO),[1997],National Imagery and Mapping Agency,FID2249,30000050360456.iso
4882996,Computer-assisted instructional program on the Federal rules of bankruptcy procedure,2000,Federal Judicial Center,FID1382,30000078957218.iso
4234824,TIGER/line 1992,[1993],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID3874,30000036885584.iso
2885818,"Geochemical studies of mines, dumps, and tailings as sources of contamination, upper Animas River watershed, Colorado",2000,"U.S. Dept. of the Interior, U.S. Geological Survey",FID2176,30000077395121.iso
2794661,"Comparative geology and geochemistry of sedimentary-rock-hosted (Carlin Type) gold deposits in the People's Republic of China and in Nevada, USA",1999,U.S. Geological Survey,FID3442,30000077395246.iso
5649315,Army linguist,2003,U.S. Army,FID3527,30000085739732.iso
1012511,Highlights of the Department of the Navy ... biennial budget,1997-,The Department,FID1019,30000047535657.iso
4955837,Surface Fluxes,[2000]s,"WOCE Data Information Unit, University of Delaware, College of Marine Studies",FID314,30000078818329.iso
4232455,TIGER/line 1992,[1993],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID3887,30000038687079.iso
4272821,NAEP data on disk,1992,"National Center for Education Statistics, Office of Educational Research and Improvement, U.S. Dept. of Education",FID2865,30000044896201.iso
4248912,ethics CD,1994-,The Office,FID1650,32000000478091.iso
4243828,1990 census of population and housing,[1994],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID1597,30000036885337.iso
4300332,Teacher change,[1999],"Eisenhower National Clearinghouse for Mathematics and Science Education, Ohio State University",FID89,30000062304740.iso
4201713,1990 census of population and housing,1991,"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID1198|FID2226|FID2018|FID3562|FID200|FID1063|FID2750|FID3595|FID2150|FID3934,30000036885840.iso|30000036885857.iso|30000036885873.iso|30000036885865.iso|30000036885881.iso|30000036886327.iso|30000036886285.iso|30000036886301.iso|30000036886293.iso|30000036886319.iso
1376201,WEPS,[1991-,"Dept. of Energy, Energy Information Administration",FID1438|FID1344|FID3748,30000103497552.img|30000103499368.img|30000103499376.img
4304250,Water supply guidance manual,[2000],"U.S. Environmental Protection Agency, Office of Water",FID2130,30000066079884.iso
